reviewText,pos_score,neg_score,sentiment
vital accessory player love retractable dont long cable getting tangle thing great price well free shipping,0.591,0.0,0
case fit well side volume button dont work top powersleep button hard access case total waste money,0.205,0.259,1
iphone broke bought use iphone come whenever use call text fine else expect dollar phone think worth money fuctions exactly pay complaint,0.137,0.236,1
needed transmitter iphone jobthings dont like iphone fit snugly everytime move phone signal get lost get use remote battery came dead battery cost,0.0,0.363,1
cheap knock dont buy expecting one like one came phonethe picture inaccurate,0.185,0.0,0
wasnt anything special within week started chipping peeling corner dont use,0.0,0.184,1
owned brand screen protector worse better others would buy,0.223,0.238,1
needed charger quick didnt want spend convenience store short crappy charger price charger greatpros cord length perfect tall bed dont struggle see phone laying downcons plug little blocky nothing worry connecter doesnt like stay place time fall wiggle right disconnect charge phone also old port little worn could issueif need good charger cheap price buy,0.161,0.133,0
many device use miniusb charger perfect battery charger charge zen nicely using aaa batterie give lot flexibility however doesnt charge blackberry bold doesnt charge ipaq either figured since us aaa battery charge device us little power device drain lot powerit however good battery extender bold long bold still power hooking charger bold doesnt give run time,0.173,0.127,0
agree poster blame phone broke screen monitor home bad dropped table phone best smart phone people issue reset conflict many apps load usually solved love phone alsodo rate star say phone good verizon bad unfair since lower rating ignore guy broke phonethis good phone,0.288,0.336,1
bought couple father keep car dashboard stick well break sun leave sticky residue hold phone garage door opener ease,0.211,0.055,0
gone thru lot windshield holder phonesgps expected rough thing product careful connected phone,0.118,0.0,0
itorch almost two week used quite bit pro work product use micro usb connector droid galaxy kindle fire get several charge itorch smart phone charge smart phone pretty quickly seems speed wall charger charge itorch wall plug usb car charger adapter often seem forget charge home instead charge waycons itorch take seems like long time charge seems little thick think would liked larger length width could thinner size like smart phoneverdict despite con give star take itorch everywhere cant afford without phone work itorch phone wont dead updated device month quit used probably time call company see tell meupdate contacted new trent service item replaced far replacement working great,0.207,0.033,0
performs exactly advertised sturdily builtand provides lot boost exactly supposed easy insert phone definitely star experience dont know would without case love love love,0.228,0.278,1
people hard time hearing clearly never use crap glad bought time use headset room nothing playing background,0.218,0.245,1
work fine kinda awkward get iphone especially unplug headphone cant really touch screen get iphone said awkward want stuck arm work,0.131,0.195,1
used case protect scanner inside laptop case going airport etc provides good protection,0.333,0.0,0
bought protector really nice job nice line protector cut make tight fit little tricky first time putting get hang easy,0.4,0.118,0
liked useful good quality listening music like much using answering phone,0.613,0.0,0
least different bluetooths comfortable clear far forget wearing second one star neck weak careful crack body put hold body insert ear broke first week drop crazy glue fix thoughwarning dont put ear crazy glue wet make difficult remove people tell sound way better one used,0.169,0.277,1
purchased charger replace one lost samsung focus charger casing blemish could either used refurbished display stock usb connector wear thoughthey sent long wire part eccdubbe length appear damage wear wire match construction quality original datacharging cable charger good deal,0.114,0.12,1
use audio connection phone tablet home stereo amplifier length convenient issue audio quality,0.0,0.0,0
worth dollar paid didnt charge pad worked two week wire pulled bottom cheap cheap cheap,0.119,0.0,0
ability leave music cell phone gym bag get serious workout without disruption worth price along call also important dont miss important phone call getting interrupted voice announcement who calling make worthwhile first use hooked weekday workout bluetooth stereo headset weekend back zune dislike headphone need escape phone,0.236,0.156,0
one light loud decade range ear need volume people kept falling never notice gone ear piece rubbery flop thats comfortableanyway finally lost good bought another amazon new one suck full volume even people sensitive ear cant hear well enough understand there background noise guess like everything made china hit miss one great one suck going yet another brand see someone else get right,0.142,0.197,1
use headset msi wind tried many headset turn fall wireless store mantra sell crap headset sound good plus step drop loan drunk friend fall car still work great product buy wont buy crap,0.222,0.211,0
dont know rubber always come exposing wire,0.0,0.259,1
ive gone lot bluetooth headset list unfortunately includes different iteration one problem bluetooth headset easily get lost left pocket laundry first quality headset waterproof andor beeper phone get foot get star mewith said headset done best job balancing quality price portability found far result every time feed headset washing machine back another one,0.106,0.119,1
item work symbol middle light plugged connects smartphones without problem bought htc one plus use droid razr needed item great buy anyone need first replacement charger,0.209,0.0,0
really cool item allows charge electronic item case kindle anywhere need battery appropriate tip note tip included need purchase tip thats appropriate item use ittwo battery energizer mine included put put appropriate tip end plug igo device turn igo slide switch end igo light igo turn let know charging finished charging reverse removing iti would advise everyone careful plastic thin battery inside think one drop would plastic crackthis device really good charging kindle electronic device access electricity outdoors traveling power outage etc want use chargeras number charge get one set battery far ive gotten six still going going going,0.122,0.02,0
glass screen different seller purchased first one couldnt install connector would snap place second one installed fine problem withe touch screenthis one shipped quickly unable install connector snap place called get replacement given refund instead,0.048,0.072,1
great product work well would repurchase needed product phone,0.47,0.0,0
purchased charger replace broken charger work correctly unbeatable price nokia acu charger model number would pay twice much great stuff,0.208,0.174,0
bought motorola htxt bluetooth headset couple month ago disappointed product bluetooth already broke little piece talk broke fragile work money give high praise make receive call voice clear talk time hour charge le hour thats still worth money buy,0.163,0.175,1
primary reason purchased new trent itorch use iphone although several device attempted recharge external battery iphone ive used time based experience thus far say really like productfully charged new trent itorch took iphone second time used itorch recharged iphone third time phone itorch charged itorch drained based seems itorch may charge completely empty iphone twicerecharging itorch via wall charger using separate wall adapter connect via usb cable seems take hour completely drained seems bit excessive plan recharge device night big deali previously purchased mophie juice pack air added much bulk weight phone true pain get like consequently returned itorch heavy one recommendation nice addition would new trent added short charging cable accompany charger similar gotronix usb connect lightning pin micro usb apple pin connector iphone samsung galaxy note iphone ipad mini ipod touch nano may drive cost tad cover device type would beneficial need walk around cord longer necessary trying travel mobile amazon sell shorter cable lightningamazonbasics usb lightning compatible cable inch cmor mini usb well would recommend ordering one accompany even without product highly recommended,0.103,0.083,0
purchased headphone local storepairing easy press big button left side till blue light bacomes solidthen run search pick motorola enter passcode option appear mda official romhands freewireless stereothe sound pretty good problem good crowded enviornment lot hollow noiseseldom skip mda,0.24,0.054,0
look great large live screen really goodthe camera poor quality shutter laag big like secthe software extremely slow want open message addresse book wait sec everything load course everything else slow patheticvoice dialing useless couldnt use voice who talking fast loud enough setting unbelievable voice calling couldnt understand time didnt try call russian german guy phone didnt understand chris peter lolall friend used phone voice calling case wont workand voice breaking half duplex effect lol phone wasnt speaker neverbtw speaker loud liked play movie mp etcgood entertainment phone better samsung upstage good talking lol true,0.291,0.051,0
got charger super fast started using monday everyday sincetotal day since review great little charger charge fast work great wife love lighted motorola symbol recommend,0.485,0.0,0
worked great phone device good power also look nice little window middle nice blue glow recommend anyone,0.557,0.0,0
great looking case problem reason white fading blueish black color making look bad thinking ordering another one may end way cannot figure caused fade change color,0.123,0.186,1
ear bud come iphone stay earsthese great thy stay clarify great receive call greati wear work day,0.353,0.0,0
item bad retractable cord short otherwise easy carry around serf purpose,0.188,0.227,1
practical shame evo run battery fast least great backup battery,0.0,0.444,1
screen protector alright would preferred instruction side sticky confused side went everything sticking front protector stuck phone side sticky dont understand,0.082,0.177,1
sure apple actual chord eventually chord stop charging idevices ive noticed ipad ipod say device supportedit took month fir message occur device sure waste money,0.15,0.163,1
great charger light nice visual touch youre driving light,0.496,0.0,0
guess wrong battery part number different original battery repeatedly crash phone put gig gig returning getting back,0.161,0.259,1
yesthis battery connect ipad verizon mifihoweverits advertising stretch say charge way factory charger since tech spec would guess amp battery charge ipod droidx,0.0,0.0,0
taxi chevrolet uplander minivan power outlet floor lousy location plug phone gps customer phone charge using nice quality build unlike cheap definitely good investement,0.263,0.11,0
phone hassle quite burnt lot application useable thing hard figure lot defect noticed said like built memory know verizon cancelled selling phone soon release user friendly phone,0.17,0.173,1
paid sale ring tone sound loud basic cell phone anyone need make phone call needed basis forget texting web surfing phone definitely phone call going give kid backup phone hated phone much use alarm clock giving phone two star allows user set six alarm,0.094,0.202,1
changing battery iphone easy found online instruction otherwise product didnt come instruction tool needed work bug first bug trouble getting phone charge finally got charge charge last long dont play game use day long speaker volume seems quieter even turned way otherwise product far work fine probably good extra battery unfortunately using main battery difficult change havent found specific main battery,0.107,0.135,1
look exactly picture would suggest case come something allow cord sort hold wrist least cool look,0.106,0.11,1
usb sync charging cable compatible apple iphone whiteusb sync charging cable compatible apple iphone whiteusb sync charging cable compatible apple iphone whiteusb sync charging cable compatible apple iphone whiteusb sync charging cable compatible apple iphone whiteusb sync charging cable compatible apple iphone white,0.0,0.0,0
different one buy ebay buy pack coworkers droid phone bought one fell marketing product mostly pay cover packaging cheesy certificate authenticity really need serial number certificate authenticity dumb screen cover maybe frame put desk lol,0.109,0.117,1
best usb charging cable easy use easy clean carry purse without damage whatsoever,0.657,0.0,0
